,Action_1,Action_2,Action_3,Action_4
0,-0.9631938953524457,0.9950871443491416,0.3859174832327961,0.8808565159646384
1,-0.8918388671687487,0.9733063464952625,0.26267459436717266,0.8769668316202452
2,-0.894592123905334,0.973515161190012,0.26721512399441255,0.8640612960033156
3,-0.8839656258809491,0.971969785240442,0.23412683790624766,0.8586092843616677
4,-0.9476876263440618,0.8181012286886957,0.20345778344870305,0.4891838582139755
5,-0.9423713752835448,0.8083809894204873,0.16847232796079914,0.4661073830855886
6,0.54911153927414,0.9649673682700057,0.14136391555976227,0.5513875508341849
7,0.5012505602301032,0.9618153740258562,0.16613436584204086,0.5145730794598291
8,0.44146900194775307,0.9583502060742306,0.19203264026426334,0.47195943741644025
9,0.36794616484321735,0.954590391507337,0.21908483285217292,0.42278324283926494
10,0.28452226947048287,0.9503144918306523,0.24260474036916613,0.36855843807983285
11,0.06914266330264811,0.040414343981748216,-0.8251473252268429,-0.3020824271351163
12,0.15834718482403898,0.17859023152264095,-0.8280627590809495,-0.19745147101033986
13,-0.008600137473941165,0.9677066386328173,-0.059903677217704884,0.3100807160283266
14,0.5368766798655724,0.8805581590633343,-0.08612505702194981,0.0341645092051445
15,0.46496471204801393,0.8863476495696074,-0.09053067981486304,-0.057697233071142676
16,0.5633537967530783,0.8897490392743024,-0.005479926562021421,-0.031373186960335586
17,0.5634255795760263,0.897458264180945,-0.019594921853820453,-0.01690862111257624
18,0.5464327883492512,0.9020450709713203,-0.03398010025386347,-0.0052354966276857585
19,0.5236257308628379,0.9042155618035219,-0.03849862033078791,-0.0054992372612941934
20,0.5113090584364994,0.9048156899050307,-0.02941689918644396,-0.005183345570134794
21,0.4989200681240276,0.9043231969853575,-0.019175337561679273,-0.003201025217299658
22,0.29562654549936646,0.9326314941718665,-0.21585117848307245,-0.08087632201580162
23,0.37704363610921743,0.9183305028951404,-0.06188177732813851,0.024412520634004953
24,0.2757720869132363,0.9030885977117763,-0.01409482744997473,-0.008596264803178887
25,0.27455622613062364,0.8955622812160544,0.032507364629747806,-0.008811436156100692
26,0.2538477087363646,0.8855754860220665,0.056211009564866236,0.00844043681277197
27,0.19810170082826817,0.873684421460474,0.05893909833244626,0.01242603554566576
28,0.2690927562048762,0.8759797817233128,-0.008393652232959108,0.07897246458533365
29,0.06428945276890342,0.8568370056647312,-0.013334248146323283,-0.05360373146297426
30,0.13979969869208478,0.8472081176001596,0.0479610270722785,-0.014769157929971723
31,0.06278857079486547,0.8204169400910882,0.08240531539060925,-0.013807554074514967
32,-0.01689833382948394,0.7926884202926409,0.11469195024378423,-0.019973077556074637
33,-0.03938785054268027,0.7802851759363308,0.08961740140646719,0.03213827776225669
34,-0.3207777804709955,0.7222334021189003,0.13063199287806412,-0.09132730608600388
35,-0.15790082643965722,0.5543274371172202,0.32543302817491654,-0.017164594366321468
36,-0.1873501163973047,0.44138498716288915,0.20027267236364427,-0.05013475596053596
37,-0.5135865774334275,0.07768118331861378,-0.3815853338823301,-0.5711113401982837
38,0.8378190428030995,-0.3335020193566705,-0.7889502718555185,-0.4023251497445945
39,0.7802578197633797,-0.3855267509890341,-0.9630223035492735,-0.45843869004060067
40,0.7617627957772839,-0.3740017119303804,-0.9419273671902508,-0.31285093663763375
41,0.5950652961002563,-0.4278409251246869,-0.9219765288062098,-0.3901229152270943
42,0.6232185388790296,-0.3995065778964759,-0.8688013434415218,-0.294742886362697
43,0.6115885074027411,-0.36787040631119694,-0.8275767769283948,-0.2300755981154942
44,0.18389183360219247,-0.42724656970084046,-0.7507638896162263,-0.520644454985512
45,0.7657746900147597,-0.23302300207778726,-0.5692132354732585,0.09365091875862834
46,0.12678387240536934,-0.03670282998567948,0.5845237177213713,0.1824476341647263
47,0.1017839508948231,0.5061291153476168,0.6300027484312378,0.2361318214231633
48,-0.23070660881574476,0.635828999264888,0.19975311616243566,-0.131473232797049
49,0.06399140567885206,0.7222813037888599,0.1141117417754708,-0.13287058343594857
50,0.2788255516017524,0.7093352512203579,0.11149243363014628,-0.03536974038860119
51,0.2728296998677084,0.7301414020160548,-0.013553106254513062,-0.060910929501908136
52,0.37504367395511273,0.7458289631425938,-0.06555993704306003,-0.06233539607112366
53,0.4561914945255299,0.7550398079702554,-0.09462058317662575,-0.056566124375725516
54,0.5181062775737019,0.7639389407393782,-0.11214812148847718,-0.06839603219162023
55,0.5931095384208134,0.7722220498135857,-0.11253200928834388,-0.04639157950645352
56,0.6232523597631062,0.7816242052155911,-0.13310924834353466,-0.04885349510572277
57,0.2114028598709967,0.9070854468077255,-0.6347110439508519,-0.1835670918691591
58,0.6672581922945326,0.7872723227878511,-0.7020790978618769,-0.11632067115150574
59,0.2151393595978978,0.763813939060004,0.06612284507516071,-0.2710100441924523
60,0.6187217590868579,0.8273074305697348,0.15962016402593554,0.07943325360089054
61,-0.028328719361933073,0.8178477066430179,0.2839547898340757,-0.2627611014606394
62,0.3682932162843121,0.8104994607384262,0.5317062419900023,0.03993783922312498
63,0.1654441936382617,0.7772161958707678,0.49823735332990915,0.07253077767291506
64,0.03838067481975858,0.7717567607886477,0.455211194136145,0.022612369168740386
65,0.09112896367557906,0.8269233561397955,0.2659092430215665,0.1063993860931983
66,-0.24272376528069867,0.7446922043732097,0.3307745210296895,-0.04711737513874747
67,-0.12902842765222727,0.7430048256760498,0.36558289894125745,-0.03479388559675709
68,-0.17059938589632773,0.706436819315696,0.3847827541947184,-0.011749488214425353
69,-0.2661851825764929,0.6696311301982942,0.38053995034561794,-0.027520228404628765
70,-0.46413490221717124,0.5244904322278415,0.4346589610270701,0.018953554458272962
71,-0.601063361346378,0.4840061672148901,0.3866226800363416,-0.08417785655246894
72,-0.5738257016977616,0.41659763149099327,0.3676664534056412,-0.0673675534607606
73,-0.8599200079953051,0.013623278241977534,-0.4897780594361607,-0.7585288802872597
74,0.03193864493503769,0.00852197195535214,-0.7251614582149272,-0.7116260289973815
75,0.6498525198327424,-0.30483345601526246,-0.8262900524050631,-0.5514244693984968
76,0.4301942706458516,-0.2685620858460634,-0.9766589320744148,-0.7044360774639096
77,0.8970151094531051,-0.4213697779782879,-0.952704473986481,-0.18620115980689034
78,0.9436834025099758,-0.2643091310293675,-0.9801867815430179,0.3906034744490275
79,0.77334881731735,-0.6024391896128338,0.32254204303306877,0.40506115126257425
80,0.8320412232192052,-0.36618799565062166,-0.8601599156632421,0.31200346259757156
81,0.797587053500556,-0.4344814212735327,-0.7858426620544905,0.2995974286898495
82,0.7155486687141781,-0.37439472068906454,-0.7284433452374589,0.2784783344197531
83,0.6186129719968276,-0.3011398783330295,-0.6536042886546896,0.25402575793950594
84,0.5177512563346945,-0.23794317716112406,-0.5576157773233741,0.22403544418975369
85,0.47584013065969033,-0.07695083208805283,-0.442665237342821,0.29265756638349244
86,-0.3090248853553139,-0.3373058391869806,-0.4764992715688974,-0.145612180641695
87,-0.0003179951365901388,0.07512834867764182,0.5364467020545821,-0.1000951429234578
88,-0.011618578882066003,0.3734008656579708,0.510488730549736,0.10720152122357177
89,-0.39736847358716637,0.7179638668344368,0.872927177746651,0.5111319917582676
90,-0.8553438371939057,0.7144606767322214,0.39646266916993783,0.04078555693176909
91,-0.47650598582102205,0.5264743586116166,0.13385512559290094,-0.18643624671822284
92,-0.06843898196132983,0.48660108200175795,0.07388979278324286,0.044485935821778344
93,-0.08038937742977284,0.45853069957314563,-0.1935806770175039,0.011578475900124502
94,-0.7052650304069652,0.7255593074324318,-0.4319848644162841,-0.12271790519705146
95,-0.567564018470375,0.6147371985497475,-0.3019340417542124,-0.0010758517918354796
96,-0.15107287325643173,0.021414633044810755,0.040310696237648276,0.44870929908663604
97,-0.10784508362002593,0.11682343916507765,-0.1935235365721427,0.3399854402964974
98,0.8704616974891274,-0.30232577685806356,-0.9517250453976586,0.4814847122499092
99,0.5831106025927888,-0.20458111042441757,-0.9628386381306343,0.35135894129733525
100,0.5936895862748315,-0.25707615772262193,-0.9426008716123124,0.27161213443045523
101,0.5432505852696927,-0.26602843755356087,-0.9152826991501402,0.20967665269640526
102,0.4693660375874363,-0.4160474574235753,-0.8643728124585678,0.0334787562556333
103,0.32862024648880794,-0.3917409357483017,-0.7909932293045016,-0.03932894570950709
104,0.11733946790477189,-0.30746915410699965,-0.671716634240684,-0.08930783921770866
105,0.019322643783302604,-0.22793367585424876,-0.5041406437941087,-0.046593329443718676
106,0.19859306185448156,0.11806622142830703,0.049100460843523465,0.32979471758069745
107,-0.863012488773665,-0.329527380923521,0.2885773928191143,-0.12884603048534646
108,0.03331410279371862,-0.11025319368612242,-0.11533127710361293,-0.19643741070965456
